pair	gold_file	pred_file	sent_id	id	form	lemma	upos	gold_head	pred_head	gold_deprel	pred_deprel	head_ok	rel_ok	las_ok	attachment_only_error	label_only_error	both_error	gold_head_dist	pred_head_dist	head_distance_delta
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:18	1	Maria	maria	PROPN	2	2	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:18	2	ruka	uka	NOUN	5	5	nsubj	nsubj	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:18	3	ti	ti	PART	5	5	advmod	advmod	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:18	4	uikú	ikú	AUX	5	5	cop	cop	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:18	5	suakí	ruakí	ADP	0	0	root	root	True	True	True	False	False	False	5	5	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:18	6	.	.	PUNCT	5	5	punct	punct	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:25	1	Aintá	aintá	PRON	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:25	2	ta	ta	PRON	3	3	expl	expl	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:25	3	rurí	rurí	VERB	0	0	root	root	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:25	4	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:31	1	Aé	aé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:31	2	sakú	rakú	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:31	3	uikú	ikú	AUX	2	2	aux	aux	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:31	4	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:34	1	Aé	aé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:34	2	surí	rurí	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:34	3	retana	retana	ADV	2	2	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:34	4	uikú	ikú	AUX	2	2	aux	aux	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:34	5	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:37	1	I	i	PRON	2	2	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:37	2	igara	igara	NOUN	4	4	nsubj	nsubj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:37	3	i	i	PRON	4	4	expl	expl	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:37	4	pusé	pusé	VERB	0	0	root	root	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:37	5	.	.	PUNCT	4	4	punct	punct	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:45	1	Yandé	yandé	PRON	4	4	nsubj	nsubj	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:45	2	ti	ti	PART	4	4	advmod	advmod	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:45	3	yaikú	ikú	AUX	4	4	cop	cop	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:45	4	tendawa	tendawa	NOUN	0	0	root	root	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:45	5	upé	upé	ADP	4	4	case	case	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:45	6	.	.	PUNCT	4	4	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:59	1	Ixé	ixé	PRON	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:59	2	aikú	ikú	AUX	3	3	cop	cop	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:59	3	suka	uka	NOUN	0	0	root	root	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:59	4	ruakí	ruakí	ADP	3	3	case	case	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:59	5	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:1:8:8	1	Mayé	mayé	ADV	4	4	advmod	advmod	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:1:8:8	2	taá	taá	PART	4	4	advmod	advmod	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:1:8:8	3	indé	indé	PRON	4	4	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:1:8:8	4	resasá	sasá	VERB	0	0	root	root	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:1:8:8	5	?	?	PUNCT	4	4	punct	punct	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:30	1	Igara	igara	NOUN	2	0	nsubj	root	False	False	False	False	False	True	1	1	-2
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:30	2	pisasú	pisasú	ADJ	0	1	root	amod	False	False	False	False	False	True	2	1	1
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:30	3	.	.	PUNCT	2	1	punct	punct	False	True	False	True	False	False	1	2	-1
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	1	Aé	aé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	2	upitá	pitá	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	3	yepé	yepé	DET	4	4	det	det	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	4	igara	igara	NOUN	2	2	obl	obl	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	5	mirĩ	mirĩ	ADJ	4	4	amod	amod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	6	upé	upé	ADP	4	4	case	case	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	7	Maria	maria	PROPN	2	2	obl	obl	True	True	True	False	False	False	5	5	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	8	irumu	irumu	ADP	7	7	case	case	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:2:2:47	9	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	7	7	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:82	1	Awá	awá	PRON	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:82	2	taá	taá	PART	3	3	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:82	3	uyuká	yuká	VERB	0	0	root	root	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:82	4	awá	awá	PRON	3	3	obj	obj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:82	5	?	?	PUNCT	3	3	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	1	Mayé	mayé	ADV	3	5	det	advmod	False	False	False	False	False	True	2	4	2
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	2	waá	waá	PRON	1	3	fixed	nmod:poss	False	False	False	False	False	True	1	1	2
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	3	kunhã	kunhã	NOUN	5	5	nsubj	nsubj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	4	taá	taá	PART	5	5	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	5	usika	sika	VERB	0	0	root	root	True	True	True	False	False	False	5	5	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	6	ana	ana	PART	5	5	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	7	?	?	PUNCT	5	5	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:12:101	1	Maã	maã	PRON	4	4	obj	obj	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:12:101	2	taá	taá	PART	4	4	advmod	advmod	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:12:101	3	indé	indé	PRON	4	4	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:12:101	4	reputari	putari	VERB	0	0	root	root	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:12:101	5	ne	ne	PRON	6	6	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:12:101	6	mena	mena	NOUN	4	4	iobj	iobj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:12:101	7	supé	supé	ADP	6	6	case	case	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:12:101	8	?	?	PUNCT	4	4	punct	punct	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:15:104	1	Aé	aé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:15:104	2	uputari	putari	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:15:104	3	yepé	yepé	DET	4	4	det	det	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:15:104	4	xirura	xirura	NOUN	2	2	obj	obj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:15:104	5	pisasú	pisasú	ADJ	4	4	amod	amod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:15:104	6	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:30:119	1	Xukúi	xukúi	PART	0	0	root	root	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:30:119	2	sekuyaramirĩ	sekuyaramirĩ	NOUN	1	1	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:3:30:119	3	.	.	PUNCT	1	1	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:142	1	Aintá	aintá	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:142	2	usú	sú	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:142	3	nhaã	nhaã	PRON	4	2	det	obj	False	False	False	False	False	True	1	1	-2
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:142	4	tatatingawasú	tatatinga	NOUN	2	2	obl	obl	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:142	5	piterarupí	piterarupí	ADP	4	4	case	case	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:142	6	…	…	PUNCT	2	2	punct	punct	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:148	1	Indé	indé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:148	2	resemu	semu	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:148	3	se	se	PRON	2	2	obl	obl	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:148	4	suí	suí	ADP	3	3	case	case	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:148	5	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:198	1	Atuká	tuká	VERB	0	0	root	root	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:198	2	ukena	ukena	NOUN	1	1	obj	obj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:198	3	.	.	PUNCT	1	1	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:200	1	Ixé	ixé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:200	2	São	são	PROPN	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:200	3	Paulo	paulo	PROPN	2	2	flat	nmod	True	False	False	False	True	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:200	4	suiwara	suiwara	ADP	2	3	case	case	False	True	False	True	False	False	2	1	1
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:200	5	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:211	1	Awá	awá	PRON	0	0	root	root	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:211	2	kwera	kwera	PART	1	1	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:211	3	?	?	PUNCT	1	1	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	1	Turusú	turusú	ADV	2	2	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	2	ugustari	gustari	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	3	yandé	yandé	PRON	2	2	obj	nsubj	True	False	False	False	True	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	4	,	,	PUNCT	6	6	punct	punct	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	5	turusú	turusú	ADV	6	6	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	6	upurará	purará	VERB	2	2	parataxis	parataxis	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	7	mundu	mundu	NOUN	6	6	obl	obl	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	8	upé	upé	ADP	7	7	case	case	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	9	,	,	PUNCT	6	6	punct	punct	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	10	[...]	[...]	PUNCT	6	2	punct	punct	False	True	False	True	False	False	4	8	-4
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	11	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	9	9	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	1	Aité	aité	PRON	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	2	kwá	kwá	DET	1	3	det	det	False	True	False	True	False	False	1	1	2
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	3	kana	kana	NOUN	0	0	root	root	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	4	ti	ti	PART	6	6	advmod	advmod	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	5	waá	waá	PRON	6	6	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	6	urikú	rikú	VERB	3	3	acl:relcl	acl:relcl	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	7	i	i	PRON	8	8	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	8	pinimasawa	pinimasawa	NOUN	6	6	obj	obj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	9	,	,	PUNCT	12	12	punct	punct	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	10	aité	aité	PRON	12	12	nsubj	det	True	False	False	False	True	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	11	kwá	kwá	DET	10	12	det	det	False	True	False	True	False	False	1	1	2
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	12	kana	kana	NOUN	3	3	parataxis	appos	True	False	False	False	True	False	9	9	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	13	piranga	piranga	ADJ	12	12	acl:relcl	acl:relcl	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	14	waá	waá	PRON	13	13	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	15	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	12	12	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	1	Kwá	kwá	DET	2	2	det	det	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	2	paka	paka	NOUN	3	3	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	3	urikú	rikú	VERB	0	0	root	root	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	4	sukwera	sukwera	NOUN	3	3	obj	obj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	5	seé	seé	ADJ	4	4	amod	amod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	6	,	,	PUNCT	10	10	punct	punct	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	7	yawé	yawé	ADV	10	10	advmod	advmod	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	8	rã	rã	ADP	7	7	fixed	case	True	False	False	False	True	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	9	mira-itá	mira	NOUN	10	10	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	10	usikari	sikari	VERB	3	3	parataxis	parataxis	True	True	True	False	False	False	7	7	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	11	aé	aé	PRON	10	10	obj	obj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	12	turusú	turusú	ADV	10	10	advmod	advmod	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	13	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	10	10	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	1	Aintá	aintá	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	2	urikú	rikú	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	3	yepé	yepé	DET	4	4	det	det	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	4	yawara	yawara	NOUN	2	6	obj	nmod:poss	False	False	False	False	False	True	2	2	4
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	5	paka	paka	NOUN	6	6	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	6	rupiára	supiára	NOUN	4	2	nmod	obj	False	False	False	False	False	True	2	4	-2
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	7	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	5	5	0
