sent_id	id	form	lemma	upos	gold_head	pred_head	gold_deprel	pred_deprel	head_ok	rel_ok	las_ok	attachment_only_error	label_only_error	both_error	gold_head_dist	pred_head_dist	head_distance_delta
MooreFP1994:1:7:34	2	taá	taá	PART	5	5	advmod	advmod	True	True	True	False	False	False	3	3	0
MooreFP1994:1:7:34	3	asú	sú	AUX	5	5	aux	aux	True	True	True	False	False	False	2	2	0
MooreFP1994:1:7:34	4	anhũ	anhũ	ADV	5	5	advmod	advmod	True	True	True	False	False	False	1	1	0
MooreFP1994:1:7:34	5	awatá	watá	VERB	0	0	root	root	True	True	True	False	False	False	5	5	0
MooreFP1994:1:7:34	6	se	se	PRON	7	7	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
MooreFP1994:1:7:34	7	retama	tetama	NOUN	5	5	obl	obl	True	True	True	False	False	False	2	2	0
MooreFP1994:1:7:34	8	kití	kití	ADP	7	7	case	case	True	True	True	False	False	False	1	1	0
MooreFP1994:1:7:34	9	amaã	maã	VERB	5	5	advcl	advcl	True	True	True	False	False	False	4	4	0
MooreFP1994:1:7:34	10	arã	arã	SCONJ	9	9	mark	mark	True	True	True	False	False	False	1	1	0
MooreFP1994:1:7:34	11	se	se	PRON	12	12	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
MooreFP1994:1:7:34	12	anama-itá	anama	NOUN	9	9	obj	obj	True	True	True	False	False	False	3	3	0
MooreFP1994:1:7:34	13	?	?	PUNCT	5	5	punct	punct	True	True	True	False	False	False	8	8	0
Alencar2021:0:0:3	1	Yandé	yandé	PRON	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
Alencar2021:0:0:3	2	yaikú	ikú	AUX	3	3	cop	cop	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:3	3	ne	ne	PRON	0	0	root	root	True	True	True	False	False	False	3	3	0
Alencar2021:0:0:3	4	ruakí	ruakí	ADP	3	3	case	case	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:3	5	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	2	2	0
Alencar2021:0:0:16	1	Maria	maria	PROPN	2	2	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:16	2	rimbiú	timbiú	NOUN	4	4	nsubj	nsubj	True	True	True	False	False	False	2	2	0
Alencar2021:0:0:16	3	ti	ti	PART	4	4	advmod	advmod	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:16	4	sé	sé	ADJ	0	0	root	root	True	True	True	False	False	False	4	4	0
Alencar2021:0:0:16	5	uikú	ikú	AUX	4	4	cop	cop	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:16	6	.	.	PUNCT	4	4	punct	punct	True	True	True	False	False	False	2	2	0
Alencar2021:0:0:20	1	Aikú	ikú	AUX	2	2	cop	cop	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:20	2	iké	iké	ADV	0	0	root	root	True	True	True	False	False	False	2	2	0
Alencar2021:0:0:20	3	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:36	1	Aé	aé	PRON	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
Alencar2021:0:0:36	2	ti	ti	PART	3	3	advmod	advmod	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:36	3	surí	rurí	VERB	0	0	root	root	True	True	True	False	False	False	3	3	0
Alencar2021:0:0:36	4	uikú	ikú	AUX	3	3	aux	aux	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:36	5	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	2	2	0
Alencar2021:0:0:46	1	Igara	igara	NOUN	2	3	nmod:poss	nsubj	False	False	False	False	False	True	1	2	1
Alencar2021:0:0:46	2	paranã	paranã	NOUN	3	3	nsubj	nmod:poss	True	False	False	False	True	False	1	1	0
Alencar2021:0:0:46	3	suakí	ruakí	ADP	0	0	root	root	True	True	True	False	False	False	3	3	0
Alencar2021:0:0:46	4	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:51	1	Igara	igara	NOUN	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
Alencar2021:0:0:51	2	uikú	ikú	AUX	3	3	cop	cop	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:51	3	paranã	paranã	NOUN	0	0	root	root	True	True	True	False	False	False	3	3	0
Alencar2021:0:0:51	4	upé	upé	ADP	3	3	case	case	True	True	True	False	False	False	1	1	0
Alencar2021:0:0:51	5	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	2	2	0
Navarro2016:1:3:3	1	Ixé	ixé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:1:3:3	2	Maria	maria	PROPN	0	0	root	root	True	True	True	False	False	False	2	2	0
Navarro2016:1:3:3	3	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	1	1	0
Navarro2016:1:7:7	1	Puranga	puranga	ADJ	2	0	amod	root	False	False	False	False	False	True	1	1	-2
Navarro2016:1:7:7	2	pituna	pituna	NOUN	0	1	root	nsubj	False	False	False	False	False	True	2	1	1
Navarro2016:1:7:7	3	,	,	PUNCT	2	4	punct	punct	False	True	False	True	False	False	1	1	2
Navarro2016:1:7:7	4	Pedro	pedro	PROPN	2	1	vocative	vocative	False	True	False	True	False	False	2	3	-1
Navarro2016:1:7:7	5	!	!	PUNCT	2	1	punct	punct	False	True	False	True	False	False	3	4	-1
Navarro2016:1:13:13	1	Puranga	puranga	ADJ	2	0	amod	root	False	False	False	False	False	True	1	1	-2
Navarro2016:1:13:13	2	karuka	karuka	NOUN	0	1	root	nsubj	False	False	False	False	False	True	2	1	1
Navarro2016:1:13:13	3	,	,	PUNCT	4	4	punct	punct	True	True	True	False	False	False	1	1	0
Navarro2016:1:13:13	4	Antônio	antônio	PROPN	2	1	vocative	vocative	False	True	False	True	False	False	2	3	-1
Navarro2016:1:13:13	5	!	!	PUNCT	2	1	punct	punct	False	True	False	True	False	False	3	4	-1
Navarro2016:0:0:42	1	Mamé	mamé	ADV	0	0	root	root	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:42	2	Barcelos	barcelos	PROPN	1	1	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:42	3	?	?	PUNCT	1	1	punct	punct	True	True	True	False	False	False	2	2	0
Navarro2016:2:10:55	1	Pirá-itá	pirá	NOUN	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:2:10:55	2	uyawáu	yawáu	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
Navarro2016:2:10:55	3	igarapé	igarapé	NOUN	2	2	obl	obl	True	True	True	False	False	False	1	1	0
Navarro2016:2:10:55	4	kití	kití	ADP	3	3	case	case	True	True	True	False	False	False	1	1	0
Navarro2016:2:10:55	5	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	3	3	0
Navarro2016:0:0:57	1	Maria	maria	PROPN	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:57	2	unheẽ	nheẽ	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
Navarro2016:0:0:57	3	nheenga-itá	nheenga	NOUN	2	2	obj	obj	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:57	4	puranga	puranga	ADJ	3	3	amod	amod	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:57	5	Pedro	pedro	PROPN	2	2	iobj	iobj	True	True	True	False	False	False	3	3	0
Navarro2016:0:0:57	6	supé	supé	ADP	5	5	case	case	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:57	7	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	5	5	0
Navarro2016:0:0:71	1	Remunhã	munhã	VERB	0	0	root	root	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:71	2	será	será	PART	1	1	advmod	advmod	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:71	3	maã	maã	PRON	1	1	obj	obj	True	True	True	False	False	False	2	2	0
Navarro2016:0:0:71	4	amunhã	munhã	VERB	3	3	acl:relcl	acl:relcl	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:71	5	?	?	PUNCT	1	1	punct	punct	True	True	True	False	False	False	4	4	0
Navarro2016:0:0:74	1	Maã	maã	PRON	4	4	obj	obj	True	True	True	False	False	False	3	3	0
Navarro2016:0:0:74	2	taá	taá	PART	4	4	advmod	advmod	True	True	True	False	False	False	2	2	0
Navarro2016:0:0:74	3	indé	indé	PRON	4	4	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:74	4	reputari	putari	VERB	0	0	root	root	True	True	True	False	False	False	4	4	0
Navarro2016:0:0:74	5	Maria	maria	PROPN	4	4	iobj	iobj	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:74	6	supé	supé	ADP	5	5	case	case	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:74	7	?	?	PUNCT	4	4	punct	punct	True	True	True	False	False	False	3	3	0
Navarro2016:0:0:88	1	Kunhã-itá	kunhã	NOUN	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:88	2	usika	sika	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
Navarro2016:0:0:88	3	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:89	1	Uka-itá	uka	NOUN	2	0	nsubj	root	False	False	False	False	False	True	1	1	-2
Navarro2016:0:0:89	2	mirĩ	mirĩ	ADJ	0	1	root	amod	False	False	False	False	False	True	2	1	1
Navarro2016:0:0:89	3	.	.	PUNCT	2	1	punct	punct	False	True	False	True	False	False	1	2	-1
Navarro2016:3:5:94	1	Aé	aé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:3:5:94	2	upiripana	piripana	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
Navarro2016:3:5:94	3	kurí	kurí	PART	2	2	advmod	advmod	True	True	True	False	False	False	1	1	0
Navarro2016:3:5:94	4	maã-itá	maã	NOUN	2	2	obj	obj	True	True	True	False	False	False	2	2	0
Navarro2016:3:5:94	5	i	i	PRON	6	6	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Navarro2016:3:5:94	6	mimbira	mimbira	NOUN	2	2	iobj	obl	True	False	False	False	True	False	4	4	0
Navarro2016:3:5:94	7	supé	supé	ADP	6	6	case	case	True	True	True	False	False	False	1	1	0
Navarro2016:3:5:94	8	,	,	PUNCT	10	10	punct	punct	True	True	True	False	False	False	2	2	0
Navarro2016:3:5:94	9	i	i	PRON	10	10	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Navarro2016:3:5:94	10	mena	mena	NOUN	6	2	conj	conj	False	True	False	True	False	False	4	8	-4
Navarro2016:3:5:94	11	supé	supé	ADP	10	10	case	case	True	True	True	False	False	False	1	1	0
Navarro2016:3:5:94	12	yuíri	yuíri	CCONJ	10	10	cc	cc	True	True	True	False	False	False	2	2	0
Navarro2016:3:5:94	13	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	11	11	0
Navarro2016:0:0:145	1	Se	se	PRON	3	3	obl	obl	True	True	True	False	False	False	2	2	0
Navarro2016:0:0:145	2	riré	riré	ADP	1	1	case	case	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:145	3	usika	sika	VERB	0	0	root	root	True	True	True	False	False	False	3	3	0
Navarro2016:0:0:145	4	ana	ana	PART	3	3	advmod	advmod	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:145	5	amú	amú	DET	6	6	det	det	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:145	6	apigawa	apigawa	NOUN	3	3	nsubj	nsubj	True	True	True	False	False	False	3	3	0
Navarro2016:0:0:145	7	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	4	4	0
Navarro2016:0:0:159	1	Xukúi	xukúi	PART	0	0	root	root	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:159	2	kamixá	kamixá	NOUN	1	1	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:159	3	.	.	PUNCT	1	1	punct	punct	True	True	True	False	False	False	2	2	0
Navarro2016:4:9:176	1	Aé	aé	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Navarro2016:4:9:176	2	urasú	rasú	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
Navarro2016:4:9:176	3	pirá	pirá	NOUN	2	2	obj	obj	True	True	True	False	False	False	1	1	0
Navarro2016:4:9:176	4	suka	uka	NOUN	3	2	nmod	obl	False	False	False	False	False	True	1	2	-1
Navarro2016:4:9:176	5	suí	suí	ADP	4	4	case	case	True	True	True	False	False	False	1	1	0
Navarro2016:4:9:176	6	sukwera	sukwera	NOUN	8	2	nsubj	obj	False	False	False	False	False	True	2	4	-6
Navarro2016:4:9:176	7	waá	waá	PRON	6	8	nmod:poss	nsubj	False	False	False	False	False	True	1	1	2
Navarro2016:4:9:176	8	membeka	membeka	ADJ	3	6	acl:relcl	acl:relcl	False	True	False	True	False	False	5	2	3
Navarro2016:4:9:176	9	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	7	7	0
Navarro2016:0:0:212	1	Asuiwara	asuí	ADV	7	7	advmod	advmod	True	True	True	False	False	False	6	6	0
Navarro2016:0:0:212	2	kwera	kwera	PART	7	7	advmod	advmod	True	True	True	False	False	False	5	5	0
Navarro2016:0:0:212	3	,	,	PUNCT	7	7	punct	punct	True	True	True	False	False	False	4	4	0
Navarro2016:0:0:212	4	mukũi	mukũi	NUM	5	5	nummod	nummod	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:212	5	apigawa	apigawa	NOUN	7	7	nsubj	nsubj	True	True	True	False	False	False	2	2	0
Navarro2016:0:0:212	6	nhũ	nhũ	ADV	5	7	advmod	advmod	False	True	False	True	False	False	1	1	2
Navarro2016:0:0:212	7	upitá	pitá	VERB	0	0	root	root	True	True	True	False	False	False	7	7	0
Navarro2016:0:0:212	8	umanhana	manhana	VERB	7	7	parataxis	parataxis	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:212	9	uikú	ikú	AUX	8	8	aux	aux	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:212	10	yané	yané	PRON	12	11	nmod:poss	nmod:poss	False	True	False	True	False	False	2	1	-1
Navarro2016:0:0:212	11	itá	itá	NOUN	12	12	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Navarro2016:0:0:212	12	uka	uka	NOUN	8	8	obj	obj	True	True	True	False	False	False	4	4	0
Navarro2016:0:0:212	13	.	.	PUNCT	7	7	punct	punct	True	True	True	False	False	False	6	6	0
Avila2021:0:0:17	1	Aité	aité	PRON	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
Avila2021:0:0:17	2	usú	sú	AUX	3	3	aux	aux	True	True	True	False	False	False	1	1	0
Avila2021:0:0:17	3	umunhã	munhã	VERB	0	0	root	root	True	True	True	False	False	False	3	3	0
Avila2021:0:0:17	4	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	1	Asuí	asuí	CCONJ	2	2	cc	cc	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	2	yamukwekatú	mukwekatú	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
Avila2021:0:0:19	3	kwá	kwá	DET	5	5	det	det	True	True	True	False	False	False	2	2	0
Avila2021:0:0:19	4	yané	yané	PRON	5	5	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	5	rumuara	sumuara	NOUN	2	2	obj	obj	True	True	True	False	False	False	3	3	0
Avila2021:0:0:19	6	,	,	PUNCT	7	7	punct	punct	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	7	urikú	rikú	VERB	5	2	acl:relcl	parataxis	False	False	False	False	False	True	2	5	-3
Avila2021:0:0:19	8	waá	waá	PRON	7	7	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	9	kwá	kwá	DET	10	10	det	det	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	10	manduarisá	manduarisá	NOUN	7	7	obj	obj	True	True	True	False	False	False	3	3	0
Avila2021:0:0:19	11	usikari	sikari	VERB	10	7	acl	advcl	False	False	False	False	False	True	1	4	-3
Avila2021:0:0:19	12	arã	arã	SCONJ	11	11	mark	mark	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	13	ukwá	kwá	VERB	11	11	xcomp	conj	True	False	False	False	True	False	2	2	0
Avila2021:0:0:19	14	aité	aité	PRON	16	16	det	det	True	True	True	False	False	False	2	2	0
Avila2021:0:0:19	15	kwá	kwá	DET	16	16	det	det	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	16	nheenga	nheenga	NOUN	17	17	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Avila2021:0:0:19	17	resewara	sesewara	NOUN	13	13	obj	obj	True	True	True	False	False	False	4	4	0
Avila2021:0:0:19	18	,	,	PUNCT	7	13	punct	punct	False	True	False	True	False	False	11	5	6
Avila2021:0:0:19	19	[...]	[...]	PUNCT	7	2	punct	punct	False	True	False	True	False	False	12	17	-5
Avila2021:0:0:19	20	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	18	18	0
Avila2021:0:0:24	1	Asuí	asuí	ADV	6	6	advmod	advmod	True	True	True	False	False	False	5	5	0
Avila2021:0:0:24	2	paá	paá	PART	6	6	advmod	advmod	True	True	True	False	False	False	4	4	0
Avila2021:0:0:24	3	nhaã	nhaã	DET	4	4	det	det	True	True	True	False	False	False	1	1	0
Avila2021:0:0:24	4	kunhã	kunhã	NOUN	6	6	nsubj	nsubj	True	True	True	False	False	False	2	2	0
Avila2021:0:0:24	5	i	i	PRON	6	6	expl	expl	True	True	True	False	False	False	1	1	0
Avila2021:0:0:24	6	kweré	kweré	VERB	0	0	root	root	True	True	True	False	False	False	6	6	0
Avila2021:0:0:24	7	wana	wana	PART	6	6	advmod	advmod	True	True	True	False	False	False	1	1	0
Avila2021:0:0:24	8	umbaú	mbaú	VERB	6	6	xcomp	xcomp	True	True	True	False	False	False	2	2	0
Avila2021:0:0:24	9	maã	maã	PRON	8	8	obj	obj	True	True	True	False	False	False	1	1	0
Avila2021:0:0:24	10	i	i	PRON	11	11	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Avila2021:0:0:24	11	mena	mena	NOUN	12	12	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Avila2021:0:0:24	12	umbaú	mbaú	VERB	9	9	acl:relcl	acl:relcl	True	True	True	False	False	False	3	3	0
Avila2021:0:0:24	13	waá	waá	PRON	12	12	obj	obj	True	True	True	False	False	False	1	1	0
Avila2021:0:0:24	14	.	.	PUNCT	6	6	punct	punct	True	True	True	False	False	False	8	8	0
Avila2021:5:1:28	1	Yautí	yautí	NOUN	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Avila2021:5:1:28	2	unheẽ	nheẽ	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
Avila2021:5:1:28	3	:	:	PUNCT	6	6	punct	punct	True	True	True	False	False	False	3	3	0
Avila2021:5:1:28	4	―	―	PUNCT	6	6	punct	punct	True	True	True	False	False	False	2	2	0
Avila2021:5:1:28	5	Yasú	sú	AUX	6	6	aux	aux	True	True	True	False	False	False	1	1	0
Avila2021:5:1:28	6	yayuuka	yuuka	VERB	2	2	ccomp	ccomp	True	True	True	False	False	False	4	4	0
Avila2021:5:1:28	7	i	i	PRON	8	8	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Avila2021:5:1:28	8	kãwera	kãwera	NOUN	6	6	obj	obj	True	True	True	False	False	False	2	2	0
Avila2021:5:1:28	9	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	7	7	0
Avila2021:0:0:53	1	Ne	ne	PRON	2	2	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Avila2021:0:0:53	2	paya	paya	NOUN	3	3	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Avila2021:0:0:53	3	umundú	mundú	VERB	0	0	root	root	True	True	True	False	False	False	3	3	0
Avila2021:0:0:53	4	será	será	PART	3	3	advmod	advmod	True	True	True	False	False	False	1	1	0
Avila2021:0:0:53	5	reruri	ruri	VERB	3	3	ccomp	ccomp	True	True	True	False	False	False	2	2	0
Avila2021:0:0:53	6	maã	maã	PRON	5	5	obj	obj	True	True	True	False	False	False	1	1	0
Avila2021:0:0:53	7	?	?	PUNCT	3	3	punct	punct	True	True	True	False	False	False	4	4	0
Avila2021:0:0:61	1	Ne	ne	PRON	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
Avila2021:0:0:61	2	isí	isí	VERB	0	0	root	root	True	True	True	False	False	False	2	2	0
Avila2021:0:0:61	3	será	será	PART	2	2	advmod	advmod	True	True	True	False	False	False	1	1	0
Avila2021:0:0:61	4	?	?	PUNCT	2	2	punct	punct	True	True	True	False	False	False	2	2	0
Avila2021:0:0:95	1	Aikwé	aikwé	PART	0	0	root	root	True	True	True	False	False	False	1	1	0
Avila2021:0:0:95	2	yepé	yepé	DET	4	3	det	det	False	True	False	True	False	False	2	1	-1
Avila2021:0:0:95	3	Isana	isana	PROPN	4	4	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Avila2021:0:0:95	4	rakanga	sakanga	NOUN	1	1	nsubj	nsubj	True	True	True	False	False	False	3	3	0
Avila2021:0:0:95	5	sera	sera	NOUN	7	7	nsubj	nsubj	True	True	True	False	False	False	2	2	0
Avila2021:0:0:95	6	waá	waá	PRON	5	5	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Avila2021:0:0:95	7	Pirayawara	pirayawara	PROPN	4	4	acl:relcl	acl:relcl	True	True	True	False	False	False	3	3	0
Avila2021:0:0:95	8	,	,	PUNCT	10	10	punct	punct	True	True	True	False	False	False	2	2	0
Avila2021:0:0:95	9	wirandé	wirandé	ADV	10	10	advmod	advmod	True	True	True	False	False	False	1	1	0
Avila2021:0:0:95	10	asú	sú	VERB	1	1	parataxis	parataxis	True	True	True	False	False	False	9	9	0
Avila2021:0:0:95	11	putari	putari	AUX	10	10	aux	aux	True	True	True	False	False	False	1	1	0
Avila2021:0:0:95	12	apinaitika	pinaitika	VERB	10	10	xcomp	parataxis	True	False	False	False	True	False	2	2	0
Avila2021:0:0:95	13	i	i	PRON	14	14	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
Avila2021:0:0:95	14	apira	apira	NOUN	10	12	obl	obl	False	True	False	True	False	False	4	2	2
Avila2021:0:0:95	15	kití	kití	ADP	14	14	case	case	True	True	True	False	False	False	1	1	0
Avila2021:0:0:95	16	.	.	PUNCT	1	1	punct	punct	True	True	True	False	False	False	15	15	0
Avila2021:0:0:103	1	Mayé	mayé	SCONJ	5	8	mark	mark	False	True	False	True	False	False	4	7	3
Avila2021:0:0:103	2	indé	indé	PRON	5	8	nsubj	nsubj	False	True	False	True	False	False	3	6	3
Avila2021:0:0:103	3	reikú	ikú	AUX	5	8	cop	cop	False	True	False	True	False	False	2	5	3
Avila2021:0:0:103	4	ana	ana	PART	5	8	advmod	advmod	False	True	False	True	False	False	1	4	3
