gold_deprel	pred_deprel	count
advcl	obl	4
nmod	acl:relcl	4
acl:relcl	conj	4
nmod:poss	advmod	4
advcl:relcl	parataxis	4
nsubj	acl:relcl	4
nsubj	advmod	4
nsubj	ccomp	4
appos	obj	4
acl:relcl	nsubj	4
obj	det	4
obj	ccomp	4
flat	nsubj	4
det	advmod	4
discourse	ccomp	4
det	nmod:poss	4
dislocated	nmod:poss	3
root	vocative	3
csubj	advcl	3
vocative	nmod:poss	3
vocative	conj	3
obj	advmod	3
amod	parataxis	3
obj	acl:relcl	3
appos	vocative	3
nmod	nmod:poss	3
csubj	root	3
advmod	ccomp	3
nsubj	fixed	3
root	case	3
flat	root	3
vocative	root	3
xcomp	amod	3
obl	conj	3
acl	ccomp	3
parataxis	nmod:poss	3
expl	obj	3
dislocated	ccomp	3
advcl:relcl	nsubj	3
conj	ccomp	3
parataxis	amod	3
fixed	obj	3
advmod	acl:relcl	2
nsubj	nummod	2
conj	nmod:poss	2
conj	det	2
acl:relcl	nmod:poss	2
conj	discourse	2
advcl	acl:relcl	2
obj	advcl	2
advcl:relcl	ccomp	2
advcl	conj	2
obl	nmod	2
obl	ccomp	2
parataxis	vocative	2
obj	expl	2
obj	fixed	2
advcl	amod	2
advmod	obl	2
obj	xcomp	2
parataxis	obj	2
nsubj	appos	2
nmod:poss	obl	2
advmod	parataxis	2
vocative	ccomp	2
nmod	advmod	2
xcomp	nmod:poss	2
fixed	nmod:poss	2
amod	conj	2
flat	obj	2
discourse	root	2
acl:relcl	advmod	2
amod	advcl	2
acl	xcomp	2
expl	obl	2
vocative	parataxis	2
goeswith	ccomp	2
root	nmod:poss	2
appos	nmod:poss	2
expl	nmod:poss	2
xcomp	obl	2
dislocated	parataxis	2
acl	nsubj	1
parataxis	nmod	1
parataxis	iobj	1
xcomp	conj	1
ccomp	nmod:poss	1
parataxis	discourse	1
conj	appos	1
acl	conj	1
parataxis	case	1
parataxis	aux	1
parataxis	appos	1
acl	obj	1
acl	obl	1
ccomp	aux	1
acl:relcl	aux	1
root	nmod	1
root	det	1
root	csubj	1
case	obl	1
compound	acl:relcl	1
cc	parataxis	1
root	nummod	1
case	nmod:poss	1
conj	advmod	1
xcomp	acl:relcl	1
acl:relcl	xcomp	1
cc	punct	1
reparandum	obj	1
punct	root	1
root	punct	1
ccomp	amod	1
conj	amod	1
orphan	parataxis	1
parataxis	acl:relcl	1
advcl:relcl	obl	1
orphan	obl	1
goeswith	iobj	1
nmod:poss	advcl:relcl	1
nmod	vocative	1
nmod	root	1
det	iobj	1
nmod	dislocated	1
discourse	aux	1
amod	det	1
mark	case	1
amod	xcomp	1
iobj	nmod:poss	1
goeswith	obl	1
goeswith	nsubj	1
goeswith	det	1
nmod:poss	parataxis	1
goeswith	cc	1
goeswith	amod	1
flat	obl	1
acl	amod	1
flat	nmod:poss	1
flat	nmod	1
fixed	punct	1
appos	iobj	1
appos	nmod	1
expl	parataxis	1
dislocated	vocative	1
dislocated	conj	1
nmod:poss	ccomp	1
nsubj	acl	1
orphan	iobj	1
obj	nummod	1
orphan	case	1
obl	vocative	1
case	mark	1
case	fixed	1
obl	nummod	1
advcl:relcl	advcl	1
obl	det	1
case	advmod	1
conj	xcomp	1
obl	advcl	1
obj	root	1
dislocated	iobj	1
csubj	advmod	1
dep	root	1
csubj	ccomp	1
csubj	obl	1
nummod	obl	1
nummod	obj	1
appos	root	1
advmod	advcl	1
advmod	amod	1
advmod	conj	1
advmod	nmod:poss	1
ccomp	discourse	1
csubj	xcomp	1
dep	aux	1
ccomp	conj	1
